[16:52:29]   dism[install]: Found 974 driver package(s) to install.
[16:52:30]   dism[install]: Installing 1 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\D-Link\DGE-528\NETDLKRT.inf: The driver package was successfully installed.
[16:52:30]   dism[install]: Installing 2 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\D-Link\DGE-530\Netdlkrt.inf: The driver package was successfully installed.
[16:52:30]   dism[install]: Installing 3 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\D-Link\DGE-530\old\Netdlkrt.inf: The driver package was successfully installed.
[16:52:31]   dism[install]: Installing 4 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\D-Link\DUB-1312\DUB-13X2.inf: The driver package was successfully installed.
[16:52:31]   dism[install]: Installing 5 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\D-Link\DUB-E100\DUB-E100.inf: The driver package was successfully installed.
[16:52:31]   dism[install]: Installing 6 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\D-Link\DUB-E100\DUBE100B.inf: The driver package was successfully installed.
[16:52:32]   dism[install]: Installing 7 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\D-Link\RTL8168G\Netrtle.inf: The driver package was successfully installed.
[16:52:32]   dism[install]: Installing 8 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\GbE\IntelGbE.inf: The driver package was successfully installed.
[16:52:32]   dism[install]: Installing 9 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\PCI_5.719.0325.2009\Netrtlx.inf: The driver package was successfully installed.
[16:52:35]   dism[install]: Installing 10 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\PCIe_5.832.0211.2015\Netrtle.inf: The driver package was successfully installed.
[16:52:38]   dism[install]: Installing 11 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\PCIe_5.836.0213.2018\Netrtle.inf: The driver package was successfully installed.
[16:52:38]   dism[install]: Installing 12 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\PRO1000\All_12.18.9.11\e1d65x64.inf: The driver package was successfully installed.
[16:52:38]   dism[install]: Installing 13 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\PRO1000\All_12.18.9.11\e1r65x64.inf: The driver package was successfully installed.
[16:52:39]   dism[install]: Installing 14 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\PRO1000\Asus_12.15.31.4\e1c65x64.inf: The driver package was successfully installed.
[16:52:39]   dism[install]: Installing 15 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\PRO1000\Dell_12.17.8.7\E1C65x64.inf: The driver package was successfully installed.
[16:52:39]   dism[install]: Installing 16 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\PRO1000\Dell_12.17.8.7\E1D65x64.inf: The driver package was successfully installed.
[16:52:40]   dism[install]: Installing 17 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\PRO1000\Dell_12.17.8.7\E1R65x64.inf: The driver package was successfully installed.
[16:52:40]   dism[install]: Installing 18 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\PRO1000\e1c65x64.inf: The driver package was successfully installed.
[16:52:40]   dism[install]: Installing 19 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\PRO1000\e1d65x64.inf: The driver package was successfully installed.
[16:52:40]   dism[install]: Installing 20 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\lan\PRO1000\e1r65x64.inf: The driver package was successfully installed.
